Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
33,,0.1,,0.0,1764989772.0,,,,0.0,0.66,,,-2,1.41421356237,
34,,0.1,,0.0,1764989772.0,,,,0.020000000000000018,0.66,,,-2,1.41421356237,
35,,0.1,,0.0,1764989772.0,,,,0.039999999999999925,0.66,,,-2,1.41421356237,
36,,0.1,,0.0,1764989772.0,,,,0.05999999999999994,0.66,,,-2,1.41421356237,
37,,0.1,,0.0,1764989772.0,,,,0.07999999999999996,0.66,,,-2,1.41421356237,
38,,0.1,,0.0,1764989772.0,,,,0.09999999999999998,0.66,,,-2,1.41421356237,
39,,0.1,,0.0,1764989772.0,,,,0.12,0.66,,,-2,1.41421356237,
40,,0.1,,0.0,1764989772.0,,,,0.14,0.66,,,-2,1.41421356237,
41,,0.1,,0.0,1764989772.0,,,,0.15999999999999992,0.66,,,-2,1.41421356237,
42,,0.1,,0.0,1764989772.0,,,,0.17999999999999994,0.66,,,-2,1.41421356237,
43,,0.1,,0.0,1764989772.0,,,,0.19999999999999996,0.66,,,-2,1.41421356237,
44,,0.1,,0.0,1764989772.0,,,,0.21999999999999997,0.66,,,-2,1.41421356237,
45,,0.1,,0.0,1764989772.0,,,,0.24,0.66,,,-2,1.41421356237,
46,,0.1,,0.0,1764989772.0,,,,0.26,0.66,,,-2,1.41421356237,
47,,0.1,,0.0,1764989772.0,,,,0.2799999999999999,0.66,,,-2,1.41421356237,
48,,0.1,,0.0,1764989772.0,,,,0.29999999999999993,0.66,,,-2,1.41421356237,
49,,0.1,,0.0,1764989772.0,,,,0.31999999999999995,0.66,,,-2,1.41421356237,
50,,0.1,,0.0,1764989772.0,,,,0.33999999999999997,0.66,,,-2,1.41421356237,
51,,0.1,,0.0,1764989772.0,,,,0.36,0.66,,,-2,1.41421356237,
52,,0.1,,0.0,1764989772.0,,,,0.38,0.66,,,-2,1.41421356237,
53,,0.1,,0.0,1764989772.0,,,,0.4,0.66,,,-2,1.41421356237,
54,,0.1,,0.0,1764989772.0,,,,0.42000000000000004,0.66,,,-2,1.41421356237,
55,,0.1,,0.0,1764989772.0,,,,0.44000000000000006,0.66,,,-2,1.41421356237,
56,,0.1,,0.0,1764989772.0,,,,0.4600000000000001,0.66,,,-2,1.41421356237,
57,,0.1,,0.0,1764989772.0,,,,0.47999999999999987,0.66,,,-2,1.41421356237,
58,,0.1,,0.0,1764989772.0,,,,0.4999999999999999,0.66,,,-2,1.41421356237,
59,,0.1,,0.0,1764989772.0,,,,0.5199999999999999,0.66,,,-2,1.41421356237,
