Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
24,,0.1,,0.0,1764989772.0,,,,0.0,0.48,,,-2,1.41421356237,
25,,0.1,,0.0,1764989772.0,,,,0.020000000000000018,0.48,,,-2,1.41421356237,
26,,0.1,,0.0,1764989772.0,,,,0.040000000000000036,0.48,,,-2,1.41421356237,
27,,0.1,,0.0,1764989772.0,,,,0.06000000000000005,0.48,,,-2,1.41421356237,
28,,0.1,,0.0,1764989772.0,,,,0.08000000000000007,0.48,,,-2,1.41421356237,
29,,0.1,,0.0,1764989772.0,,,,0.09999999999999998,0.48,,,-2,1.41421356237,
30,,0.1,,0.0,1764989772.0,,,,0.12,0.48,,,-2,1.41421356237,
31,,0.1,,0.0,1764989772.0,,,,0.14,0.48,,,-2,1.41421356237,
32,,0.1,,0.0,1764989772.0,,,,0.16000000000000003,0.48,,,-2,1.41421356237,
33,,0.1,,0.0,1764989772.0,,,,0.18000000000000005,0.48,,,-2,1.41421356237,
34,,0.1,,0.0,1764989772.0,,,,0.20000000000000007,0.48,,,-2,1.41421356237,
35,,0.1,,0.0,1764989772.0,,,,0.21999999999999997,0.48,,,-2,1.41421356237,
36,,0.1,,0.0,1764989772.0,,,,0.24,0.48,,,-2,1.41421356237,
37,,0.1,,0.0,1764989772.0,,,,0.26,0.48,,,-2,1.41421356237,
38,,0.1,,0.0,1764989772.0,,,,0.28,0.48,,,-2,1.41421356237,
39,,0.1,,0.0,1764989772.0,,,,0.30000000000000004,0.48,,,-2,1.41421356237,
40,,0.1,,0.0,1764989772.0,,,,0.32000000000000006,0.48,,,-2,1.41421356237,
41,,0.1,,0.0,1764989772.0,,,,0.33999999999999997,0.48,,,-2,1.41421356237,
42,,0.1,,0.0,1764989772.0,,,,0.36,0.48,,,-2,1.41421356237,
43,,0.1,,0.0,1764989772.0,,,,0.38,0.48,,,-2,1.41421356237,
44,,0.1,,0.0,1764989772.0,,,,0.4,0.48,,,-2,1.41421356237,
45,,0.1,,0.0,1764989772.0,,,,0.42000000000000004,0.48,,,-2,1.41421356237,
46,,0.1,,0.0,1764989772.0,,,,0.44000000000000006,0.48,,,-2,1.41421356237,
47,,0.1,,0.0,1764989772.0,,,,0.45999999999999996,0.48,,,-2,1.41421356237,
48,,0.1,,0.0,1764989772.0,,,,0.48,0.48,,,-2,1.41421356237,
49,,0.1,,0.0,1764989772.0,,,,0.5,0.48,,,-2,1.41421356237,
50,,0.1,,0.0,1764989772.0,,,,0.52,0.48,,,-2,1.41421356237,
51,,0.1,,0.0,1764989772.0,,,,0.54,0.48,,,-2,1.41421356237,
52,,0.1,,0.0,1764989772.0,,,,0.56,0.48,,,-2,1.41421356237,
53,,0.1,,0.0,1764989772.0,,,,0.5800000000000001,0.48,,,-2,1.41421356237,
54,,0.1,,0.0,1764989772.0,,,,0.6000000000000001,0.48,,,-2,1.41421356237,
55,,0.1,,0.0,1764989772.0,,,,0.6200000000000001,0.48,,,-2,1.41421356237,
56,,0.1,,0.0,1764989772.0,,,,0.6400000000000001,0.48,,,-2,1.41421356237,
57,,0.1,,0.0,1764989772.0,,,,0.6599999999999999,0.48,,,-2,1.41421356237,
58,,0.1,,0.0,1764989772.0,,,,0.6799999999999999,0.48,,,-2,1.41421356237,
59,,0.1,,0.0,1764989772.0,,,,0.7,0.48,,,-2,1.41421356237,
60,,0.1,,0.0,1764989772.0,,,,0.72,0.48,,,-2,1.41421356237,
61,,0.1,,0.0,1764989772.0,,,,0.74,0.48,,,-2,1.41421356237,
62,,0.1,,0.0,1764989772.0,,,,0.76,0.48,,,-2,1.41421356237,
63,,0.1,,0.0,1764989772.0,,,,0.78,0.48,,,-2,1.41421356237,
64,,0.1,,0.0,1764989772.0,,,,0.8,0.48,,,-2,1.41421356237,
65,,0.1,,0.0,1764989772.0,,,,0.8200000000000001,0.48,,,-2,1.41421356237,
66,,0.1,,0.0,1764989772.0,,,,0.8400000000000001,0.48,,,-2,1.41421356237,
67,,0.1,,0.0,1764989772.0,,,,0.8600000000000001,0.48,,,-2,1.41421356237,
68,,0.1,,0.0,1764989772.0,,,,0.8800000000000001,0.48,,,-2,1.41421356237,
69,,0.1,,0.0,1764989772.0,,,,0.8999999999999999,0.48,,,-2,1.41421356237,
70,,0.1,,0.0,1764989772.0,,,,0.9199999999999999,0.48,,,-2,1.41421356237,
71,,0.1,,0.0,1764989772.0,,,,0.94,0.48,,,-2,1.41421356237,
72,,0.1,,0.0,1764989772.0,,,,0.96,0.48,,,-2,1.41421356237,
73,,0.1,,0.0,1764989772.0,,,,0.98,0.48,,,-2,1.41421356237,
74,,0.1,,0.0,1764989772.0,,,,1.0,0.48,,,-2,1.41421356237,
24,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.0,0.48,,0.6862157699950565,-2,1.41421356237,
25,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.020000000000000018,0.48,,0.6862157699950565,-2,1.41421356237,
26,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.040000000000000036,0.48,,0.6862157699950565,-2,1.41421356237,
27,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.06000000000000005,0.48,,0.6862157699950565,-2,1.41421356237,
28,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.08000000000000007,0.48,,0.6862157699950565,-2,1.41421356237,
29,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.09999999999999998,0.48,,0.6862157699950565,-2,1.41421356237,
30,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.12,0.48,,0.6862157699950565,-2,1.41421356237,
31,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.14,0.48,,0.6862157699950565,-2,1.41421356237,
32,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.16000000000000003,0.48,,0.6862157699950565,-2,1.41421356237,
33,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.18000000000000005,0.48,,0.6862157699950565,-2,1.41421356237,
34,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.20000000000000007,0.48,,0.6862157699950565,-2,1.41421356237,
35,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.21999999999999997,0.48,,0.6862157699950565,-2,1.41421356237,
36,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.24,0.48,,0.6862157699950565,-2,1.41421356237,
37,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.26,0.48,,0.6862157699950565,-2,1.41421356237,
38,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.28,0.48,,0.6862157699950565,-2,1.41421356237,
39,,0.1,,0.1,1764989772.0,,,-1.6622887524067083,0.30000000000000004,0.48,,0.6862157699950565,-2,1.41421356237,
