beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,17,0.34,0.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,18,0.34,0.019999999999999962,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,19,0.34,0.03999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,20,0.34,0.06,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,21,0.34,0.07999999999999996,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,22,0.34,0.09999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,23,0.34,0.12,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,24,0.34,0.13999999999999996,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,25,0.34,0.15999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,26,0.34,0.18,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,27,0.34,0.2,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,28,0.34,0.22000000000000003,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,29,0.34,0.23999999999999994,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,30,0.34,0.25999999999999995,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,31,0.34,0.27999999999999997,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,32,0.34,0.3,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,33,0.34,0.32,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,34,0.34,0.34,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,35,0.34,0.35999999999999993,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,36,0.34,0.37999999999999995,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,37,0.34,0.39999999999999997,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,38,0.34,0.42,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,39,0.34,0.44,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,40,0.34,0.46,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,41,0.34,0.4799999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,42,0.34,0.49999999999999994,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,43,0.34,0.52,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,44,0.34,0.54,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,45,0.34,0.56,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,46,0.34,0.5800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,47,0.34,0.5999999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,48,0.34,0.6199999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,49,0.34,0.6399999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,50,0.34,0.6599999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,51,0.34,0.6799999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,52,0.34,0.7,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,53,0.34,0.72,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,54,0.34,0.74,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,55,0.34,0.76,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,56,0.34,0.78,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,57,0.34,0.7999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,58,0.34,0.8199999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,59,0.34,0.8399999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,60,0.34,0.8599999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,61,0.34,0.8799999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,62,0.34,0.8999999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,63,0.34,0.9199999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,64,0.34,0.94,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,65,0.34,0.96,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,66,0.34,0.98,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,67,0.34,1.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,17,0.34,0.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,18,0.34,0.019999999999999962,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,19,0.34,0.03999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,20,0.34,0.06,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,21,0.34,0.07999999999999996,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,22,0.34,0.09999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,23,0.34,0.12,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,24,0.34,0.13999999999999996,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,25,0.34,0.15999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,26,0.34,0.18,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,27,0.34,0.2,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,28,0.34,0.22000000000000003,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,29,0.34,0.23999999999999994,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,30,0.34,0.25999999999999995,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,31,0.34,0.27999999999999997,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,32,0.34,0.3,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,33,0.34,0.32,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,34,0.34,0.34,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,35,0.34,0.35999999999999993,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,36,0.34,0.37999999999999995,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,37,0.34,0.39999999999999997,,-4.724363641059447,,-4.724363641059447,,0.6499982596234927,,,1764991820.0,0.3,-2,1.41421356237
