beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,35,0.7,0.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,36,0.7,0.020000000000000018,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,37,0.7,0.040000000000000036,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,38,0.7,0.06000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,39,0.7,0.08000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,40,0.7,0.10000000000000009,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,41,0.7,0.12,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,42,0.7,0.14,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,43,0.7,0.16000000000000003,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,44,0.7,0.18000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,45,0.7,0.20000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,46,0.7,0.22000000000000008,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,47,0.7,0.24,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,48,0.7,0.26,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,49,0.7,0.28,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,50,0.7,0.30000000000000004,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,51,0.7,0.32000000000000006,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,52,0.7,0.3400000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,53,0.7,0.3600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,54,0.7,0.3800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,55,0.7,0.40000000000000013,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,56,0.7,0.42000000000000015,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,57,0.7,0.43999999999999995,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,58,0.7,0.45999999999999996,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,59,0.7,0.48,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,60,0.7,0.5,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,61,0.7,0.52,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,62,0.7,0.54,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,63,0.7,0.56,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,64,0.7,0.5800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,65,0.7,0.6000000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,66,0.7,0.6200000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,67,0.7,0.6400000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,68,0.7,0.6600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,69,0.7,0.6799999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,70,0.7,0.7,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,71,0.7,0.72,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,72,0.7,0.74,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,73,0.7,0.76,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,74,0.7,0.78,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,75,0.7,0.8,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,76,0.7,0.8200000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,77,0.7,0.8400000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,78,0.7,0.8600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,79,0.7,0.8800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,80,0.7,0.9000000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,81,0.7,0.9200000000000002,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,82,0.7,0.94,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,83,0.7,0.96,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,84,0.7,0.98,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,85,0.7,1.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,35,0.7,0.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,36,0.7,0.020000000000000018,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,37,0.7,0.040000000000000036,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,38,0.7,0.06000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,39,0.7,0.08000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,40,0.7,0.10000000000000009,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,41,0.7,0.12,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,42,0.7,0.14,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,43,0.7,0.16000000000000003,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,44,0.7,0.18000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,45,0.7,0.20000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,46,0.7,0.22000000000000008,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
