Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
25,,0.3,,0.0,1764991820.0,,,,0.0,0.5,,,-2,1.41421356237,
26,,0.3,,0.0,1764991820.0,,,,0.020000000000000018,0.5,,,-2,1.41421356237,
27,,0.3,,0.0,1764991820.0,,,,0.040000000000000036,0.5,,,-2,1.41421356237,
28,,0.3,,0.0,1764991820.0,,,,0.06000000000000005,0.5,,,-2,1.41421356237,
29,,0.3,,0.0,1764991820.0,,,,0.07999999999999996,0.5,,,-2,1.41421356237,
30,,0.3,,0.0,1764991820.0,,,,0.09999999999999998,0.5,,,-2,1.41421356237,
31,,0.3,,0.0,1764991820.0,,,,0.12,0.5,,,-2,1.41421356237,
32,,0.3,,0.0,1764991820.0,,,,0.14,0.5,,,-2,1.41421356237,
33,,0.3,,0.0,1764991820.0,,,,0.16000000000000003,0.5,,,-2,1.41421356237,
34,,0.3,,0.0,1764991820.0,,,,0.18000000000000005,0.5,,,-2,1.41421356237,
35,,0.3,,0.0,1764991820.0,,,,0.19999999999999996,0.5,,,-2,1.41421356237,
36,,0.3,,0.0,1764991820.0,,,,0.21999999999999997,0.5,,,-2,1.41421356237,
37,,0.3,,0.0,1764991820.0,,,,0.24,0.5,,,-2,1.41421356237,
38,,0.3,,0.0,1764991820.0,,,,0.26,0.5,,,-2,1.41421356237,
39,,0.3,,0.0,1764991820.0,,,,0.28,0.5,,,-2,1.41421356237,
40,,0.3,,0.0,1764991820.0,,,,0.30000000000000004,0.5,,,-2,1.41421356237,
41,,0.3,,0.0,1764991820.0,,,,0.31999999999999995,0.5,,,-2,1.41421356237,
42,,0.3,,0.0,1764991820.0,,,,0.33999999999999997,0.5,,,-2,1.41421356237,
43,,0.3,,0.0,1764991820.0,,,,0.36,0.5,,,-2,1.41421356237,
44,,0.3,,0.0,1764991820.0,,,,0.38,0.5,,,-2,1.41421356237,
45,,0.3,,0.0,1764991820.0,,,,0.4,0.5,,,-2,1.41421356237,
46,,0.3,,0.0,1764991820.0,,,,0.42000000000000004,0.5,,,-2,1.41421356237,
47,,0.3,,0.0,1764991820.0,,,,0.43999999999999995,0.5,,,-2,1.41421356237,
48,,0.3,,0.0,1764991820.0,,,,0.45999999999999996,0.5,,,-2,1.41421356237,
49,,0.3,,0.0,1764991820.0,,,,0.48,0.5,,,-2,1.41421356237,
